block_number,experimental_condition,condition_item,task_type,task_id,MCQ_response_unprocessed,reaction_time_MCQ,score_TEST,reaction_time_TEST,BI_score,BI_score_TaskType,BI_score_TaskID,BI_score_ParticipantID,BI_score_TaskType_ParticipantID,affinity_score,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence,participant_identification
2,F,F3,RAT,R10,incorrect,33.8966914,0.095078523,9.2662171,0.12705471,0.653957995,1.375789288,0.248358959,0.868432587,1,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
2,F,F10,RAT,R5,correct,35.2884115,0.165472671,17.2338206,0.071470637,-0.364142021,-0.472939946,0.200088034,-0.372452741,4,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
2,F,F7,Insight,I4,correct,37.6603864,0,90.0022342,-1.8459841,-1.599402983,-1.856718104,-1.831490075,-1.574027783,7,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
3,DFU,DFU5,RAT,R6,correct,25.7859747,0.075113549,15.842608,-0.054972023,-0.379353853,-0.298844077,0.054897073,-0.367435307,7,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
3,DFU,DFU3,RAT,R12,correct,46.1581685,0.04853213,15.1311839,-0.085404583,-0.338619082,-0.086928976,0.019269338,-0.311662186,1,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
3,DFU,DFU6,RAT,R4,correct,21.2482866,0.072452871,15.4122487,-0.049978861,-0.321540645,-0.615790647,0.059750705,-0.29731563,4,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
3,DFU,DFU9,RAT,R7,correct,22.7801942,0.06224057,18.4137798,-0.134976219,-0.795873966,-0.695559461,-0.030711969,-0.864360673,1,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
4,DFU,DFU10,RAT,R2,correct,27.1840947,1,13.1868621,1.617454171,2.304289218,2.843247072,1.937124138,2.617277296,1,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
4,DFU,DFU1,Insight,I3,correct,24.415147,1,78.5818902,0.153628195,0.286221888,-1.274238785,0.404018554,0.540967491,1,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
4,DFU,DFU2,Insight,I7,correct,24.2167553,1,28.4677172,1.27540198,1.302636352,1.233799458,1.578883382,1.732641272,1,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
4,DFU,DFU12,Insight,I9,correct,35.2491739,0.25,70.4090346,-0.971409034,-0.788514744,-0.897050645,-0.880208538,-0.647260401,1,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
5,F,F2,Insight,I8,correct,34.6951661,0.5,82.1184403,-0.797522813,-0.6125052,0.627865204,-0.662777882,-0.464843206,4,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
5,F,F8,Insight,I5,correct,59.6570262,0.25,27.5861078,-0.012845142,0.080018839,0.670925361,0.123722037,0.371033547,4,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
5,F,F5,RAT,R11,correct,22.4812732,0.053828049,7.7782674,0.088421712,0.774615012,0.621338476,0.20207054,1.023973202,7,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
5,F,F1,Insight,I1,correct,23.4726269,1,28.0149422,1.28553706,1.311819524,1.042168326,1.589498133,1.743407889,4,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
6,F,F9,RAT,R1,correct,34.9036892,0,20.0108989,-0.27927272,-1.188691548,-1.158521186,-0.190629752,-1.320096388,1,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
6,F,F12,RAT,R9,incorrect,33.5732839,0.038773382,9.6293729,0.020730931,0.460438094,0.128742466,0.129049496,0.650524825,4,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
6,F,F11,RAT,R3,correct,24.6335017,0.068508845,16.1176983,-0.072648184,-0.436839464,-0.392174337,0.035451364,-0.434773706,4,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
6,F,F6,Insight,I2,correct,28.338063,0.25,61.8829872,-0.780558903,-0.615589653,-0.239678264,-0.680325898,-0.444518013,1,20,Vrouw,ASO/doorstroomfinaliteit,4.5,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
1,F,F1,RAT,R9,correct,71.4649665,0.091436848,4.8550029,0.219445934,1.304961384,0.963871409,0.392688839,1.181442845,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
1,F,F4,RAT,R10,correct,59.8340943,0.099637574,3.1221497,0.27253661,1.584502674,2.443940489,0.454812801,1.644482257,7,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
1,F,F2,RAT,R4,incorrect,55.7204654,0.138299455,18.2703939,0.000878191,-0.586405377,-0.924001423,0.184046786,0.351806234,7,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
1,F,F12,RAT,R5,correct,44.414157,0.101707372,18.5354542,-0.0688707,-0.71651817,-0.809557025,0.087342727,-0.601292932,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
2,F,F11,Insight,I11,correct,46.7406572,0,19.1890602,-0.260876385,-0.163171873,-0.283190684,-0.179435973,0.126328274,7,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
2,F,F3,Insight,I7,correct,50.1466887,0,23.3972351,-0.355073695,-0.248521976,-0.374321773,-0.281157953,0.033730947,1,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
2,F,F6,RAT,R6,correct,54.7478013,0.095543106,10.7893896,0.093769687,0.427209488,0.509638382,0.259372913,0.399405023,7,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
2,F,F7,Insight,I8,incorrect,44.7690206,0,112.7691867,-2.355607804,-2.061161772,-1.288420948,-2.441498747,-1.932823212,7,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
3,DFU,DFU10,RAT,R3,correct,51.4897167,0.108179221,12.4895915,0.077748823,0.204061507,0.275988252,0.249456497,0.461463455,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
3,DFU,DFU12,RAT,R12,correct,73.6720041,0.114761857,15.9899065,0.010876459,-0.303383256,-0.010460875,0.18108896,0.104067022,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
3,DFU,DFU4,Insight,I4,correct,47.1542461,0,81.8221935,-1.662879108,-1.433495592,-1.687082382,-1.693433491,-1.251860817,7,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
3,DFU,DFU5,Insight,I9,correct,27.3602011,0.25,95.5593715,-1.534383277,-1.298613278,-1.616106013,-1.408579482,-1.088445478,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
4,DFU,DFU11,Insight,I6,incorrect,49.7509112,0.25,60.8987156,-0.758526611,-0.59562668,-1.849388081,-0.570745827,-0.325767078,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
4,DFU,DFU6,RAT,R2,correct,39.7614966,0.041957217,15.0628598,-0.095341677,-0.344649417,-0.377794578,0.023840716,-1.575455625,7,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
4,DFU,DFU9,Insight,I12,correct,36.682776,0,24.7059965,-0.384369484,-0.275066244,-0.426526973,-0.312793948,0.00493276,7,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
4,DFU,DFU2,RAT,R8,correct,18.578587,0.086241667,17.369257,-0.069737925,-0.580262586,-0.550854527,0.077368459,-0.81359422,7,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
5,DFU,DFU8,Insight,I5,correct,19.2098128,0.25,34.4077926,-0.165544204,-0.05833841,0.516220728,0.069605207,0.257143263,7,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
5,DFU,DFU1,RAT,R11,incorrect,30.4930975,0.139537182,14.1728734,0.094757138,0.029724918,0.918921802,0.286148268,0.99347005,1,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
5,DFU,DFU7,Insight,I10,correct,27.1230711,0,70.8224159,-1.416656106,-1.210398365,-0.022943103,-1.4275417,-1.00982002,1,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
5,DFU,DFU3,RAT,R1,correct,20.404927,0.057469748,13.9003369,-0.042265875,-0.132366343,-0.113918878,0.090221451,-1.014874617,1,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
6,F,F5,Insight,I2,correct,16.847767,1,20.0909959,1.462909541,1.472532814,2.041419204,2.266424126,1.969243204,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
6,F,F8,Insight,I1,incorrect,31.0924375,1,36.3024994,1.10002538,1.143731486,0.815751683,1.874552049,1.612522789,1,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
6,F,F9,RAT,R7,correct,17.2063814,0.066282423,16.1549862,-0.077365674,-0.447922123,-0.361730797,0.057467713,-1.130919491,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
6,F,F10,Insight,I3,correct,7.0390122,0.75,15.4890247,1.129927935,1.152370453,0.103848327,1.760749608,1.60481537,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Gemiddeld,99180cb6-9072-426c-9932-e464c4b0b859
1,DFU,DFU1,RAT,R2,correct,44.7602961,0.057525233,18.6753399,-0.149054506,-0.846664733,-0.945204273,-0.209745872,-1.202186635,3,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,a78c4564-8cf5-4f36-9ec6-5dee248b0510
1,DFU,DFU8,Insight,I11,incorrect,49.8882631,0.75,60.3664365,0.125375708,0.242167855,0.098416801,-0.014302403,0.19577873,7,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,a78c4564-8cf5-4f36-9ec6-5dee248b0510
1,DFU,DFU9,RAT,R9,correct,32.0881249,0.081646628,9.7305893,0.093235143,0.551275438,0.19420589,0.118257726,0.106061184,1,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,a78c4564-8cf5-4f36-9ec6-5dee248b0510
1,DFU,DFU11,RAT,R10,correct,51.5358918,0.123276268,14.9518023,0.048962681,-0.127014833,0.92204168,0.046136765,-0.505838726,7,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,a78c4564-8cf5-4f36-9ec6-5dee248b0510
2,F,F1,RAT,R8,correct,29.9383737,0.12926854,12.6791968,0.110283878,0.22782492,0.293351833,0.129181158,-0.173821571,4,18,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,a78c4564-8cf5-4f36-9ec6-5dee248b0510
